step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
150,39150,150,0.3639628842788106,0.0,0.776,,,
151,39415,151,0.21195890180466487,0.0,0.8737864077669902,,,
152,39648,152,0.25174601769736793,0.0,0.8470588235294118,,,
153,39897,153,0.16381252631670012,0.0,0.891566265060241,0.5644083217255776,0.0,0.7685185185185185
154,40098,154,0.09947875701842981,0.0,0.9295774647887324,,,
155,40403,155,0.12127794060454569,0.0,0.9210526315789473,,,
156,40684,156,0.13012010582661526,0.0,0.9333333333333333,,,
157,40949,157,0.18581612474585102,0.0,0.8936170212765957,,,
158,41230,158,0.12872838541667186,0.0,0.8795180722891566,,,
159,41495,159,0.21428099502604245,0.0,0.8602150537634409,,,
160,41768,160,0.1658038849470404,0.0,0.8651685393258427,,,
161,42041,161,0.13925495986247338,0.0,0.9150943396226415,0.16586242844348276,0.0,0.8701298701298701
162,42330,162,0.11235558537303743,0.0,0.9166666666666666,,,
163,42611,163,0.2369115784224593,0.0,0.8782608695652174,,,
164,42884,164,0.08655613035636876,0.0,0.9382716049382716,,,
165,43173,165,0.14749133584232724,0.0,0.8555555555555555,,,
166,43438,166,0.275704968365199,0.0,0.8446601941747572,,,
167,43751,167,0.28554281601384823,0.0,0.8521739130434782,,,
168,43976,168,0.06557897765476807,0.0,0.9625,,,
169,44281,169,0.16925999171360043,0.0,0.9056603773584906,0.5631009862095422,0.0,0.7685185185185185
170,44506,170,0.07923963953145191,0.0,0.9444444444444444,,,
171,44755,171,0.35925565544159993,0.0,0.8244274809160306,,,
172,44980,172,0.15722072636687592,0.0,0.9259259259259259,,,
173,45261,173,0.25075482051472514,0.0,0.8526315789473684,,,
174,45534,174,0.08171050701144728,0.0,0.9662921348314607,,,
175,45743,175,0.0929994845774786,0.0,0.9459459459459459,,,
176,45992,176,0.1563486903179978,0.0,0.9042553191489362,,,
177,46209,177,0.14194568372666483,0.0,0.9176470588235294,0.5583155629943689,0.0,0.7870370370370371
178,46434,178,0.08708477015351622,0.0,0.948051948051948,,,
179,46683,179,0.12433248988436665,0.0,0.9583333333333334,,,
180,46932,180,0.0827499280318527,0.0,0.9452054794520548,,,
181,47141,181,0.10243356130639236,0.0,0.9178082191780822,,,
182,47462,182,0.31996557759628397,0.0,0.7889908256880734,,,
183,47759,183,0.3516876305235765,0.0,0.8285714285714286,,,
184,48024,184,0.3592888292608754,0.0,0.8260869565217391,,,
185,48273,185,0.15942754512400206,0.0,0.896551724137931,0.16385766580591826,0.0,0.8831168831168831
186,48506,186,0.09263074977570646,0.0,0.9506172839506173,,,
187,48803,187,0.16832105622957352,0.0,0.897196261682243,,,
188,49076,188,0.06389083109249721,0.0,0.9436619718309859,,,
189,49341,189,0.25069862975530155,0.0,0.8252427184466019,,,
190,49558,190,0.19759069810106764,0.0,0.8921568627450981,,,
191,49823,191,0.14663370657748415,0.0,0.9080459770114943,,,
192,50080,192,0.10621139478003414,0.0,0.9468085106382979,,,
193,50345,193,0.27012445269736857,0.0,0.8596491228070176,0.15995026341878923,0.0,0.8831168831168831
194,50650,194,0.17915633015976343,0.0,0.8867924528301887,,,
195,50987,195,0.26193655679699646,0.0,0.8716216216216216,,,
196,51228,196,0.08172887751748954,0.0,0.9662921348314607,,,
197,51509,197,0.17164748746708836,0.0,0.8541666666666666,,,
198,51750,198,0.11084310664701666,0.0,0.926829268292683,,,
199,52063,199,0.11229163858572709,0.0,0.925,,,
200,52312,200,0.23534675248060416,0.0,0.8556701030927835,,,
201,52609,201,0.19502998806934704,0.0,0.9074074074074074,0.5675676166967035,0.0,0.7592592592592593
202,52834,202,0.11276337971689802,0.0,0.9041095890410958,,,
203,53107,203,0.3192913410696453,0.0,0.7876106194690266,,,
204,53436,204,0.16767980488049514,0.0,0.8790322580645161,,,
205,53709,205,0.16154772371373335,0.0,0.875,,,
206,54030,206,0.19375847606384,0.0,0.8913043478260869,,,
207,54255,207,0.2687343489887972,0.0,0.8556701030927835,,,
208,54536,208,0.1296906856221463,0.0,0.90625,,,
209,54833,209,0.28189025839268234,0.0,0.8571428571428571,0.1561428110124343,0.0,0.8961038961038961
210,55082,210,0.11363343981103957,0.0,0.9574468085106383,,,
211,55315,211,0.11283123813249606,0.0,0.9012345679012346,,,
212,55580,212,0.12534275347378745,0.0,0.9080459770114943,,,
213,55877,213,0.12791122481778616,0.0,0.9532710280373832,,,
214,56126,214,0.1191613356830826,0.0,0.9195402298850575,,,
215,56375,215,0.26546749777364864,0.0,0.8854961832061069,,,
216,56600,216,0.09632044197284624,0.0,0.9178082191780822,,,
217,56889,217,0.08696658161355668,0.0,0.9444444444444444,0.5621070780231889,0.0,0.7592592592592593
218,57122,218,0.08818756800573968,0.0,0.961038961038961,,,
219,57355,219,0.17455907316104405,0.0,0.9058823529411765,,,
220,57580,220,0.06173998369919454,0.0,0.9605263157894737,,,
221,57853,221,0.08317225103070355,0.0,0.9433962264150944,,,
222,58126,222,0.10911900461115007,0.0,0.9213483146067416,,,
223,58399,223,0.18965313378052534,0.0,0.8737864077669902,,,
224,58624,224,0.11313629161940737,0.0,0.9506172839506173,,,
225,58849,225,0.0701454050244623,0.0,0.961038961038961,0.15550280064287095,0.0,0.8961038961038961
226,59178,226,0.14366770487503303,0.0,0.9112903225806451,,,
227,59395,227,0.14864629095754622,0.0,0.9411764705882353,,,
228,59620,228,0.06535850818979659,0.0,0.9583333333333334,,,
229,59933,229,0.10172619220745735,0.0,0.925,,,
230,60118,230,0.017183401468650484,1.0,1.0,,,
231,60439,231,0.1723755496872894,0.0,0.8913043478260869,,,
232,60648,232,0.06493756427893435,0.0,0.972972972972973,,,
233,60897,233,0.18314686610628633,0.0,0.8762886597938144,0.5695395531808543,0.0,0.7592592592592593
234,61170,234,0.05640697237867734,0.0,0.9577464788732394,,,
235,61475,235,0.0940124103456358,0.0,0.9342105263157895,,,
236,61756,236,0.09081643555786657,0.0,0.927710843373494,,,
237,62053,237,0.16420570411308533,0.0,0.9259259259259259,,,
238,62278,238,0.2161669094541468,0.0,0.9072164948453608,,,
239,62543,239,0.15282940158069722,0.0,0.9247311827956989,,,
240,62808,240,0.22772740235134087,0.0,0.8771929824561403,,,
241,63145,241,0.25231445014615234,0.0,0.84,0.1555067262457188,0.0,0.8961038961038961
242,63450,242,0.14226200095585273,0.0,0.9238095238095239,,,
243,63771,243,0.25922194020387057,0.0,0.8440366972477065,,,
244,63996,244,0.04135528585553838,0.0,0.9710144927536232,,,
245,64309,245,0.22016638486029502,0.0,0.8782608695652174,,,
246,64558,246,0.062304435811472075,0.0,0.9315068493150684,,,
247,64799,247,0.14317564948908162,0.0,0.8987341772151899,,,
248,65040,248,0.057914180351331966,0.0,0.9662921348314607,,,
249,65289,249,0.17912110599453282,0.0,0.898876404494382,0.5744976130080182,0.0,0.7685185185185185
250,65474,250,0.14195163851513742,0.0,0.945054945054945,,,
251,65747,251,0.0581499744669142,0.0,0.9887640449438202,,,
252,66052,252,0.11855501069327566,0.0,0.9339622641509434,,,
253,66309,253,0.07624630641434457,0.0,0.9680851063829787,,,
254,66598,254,0.08324708718578717,0.0,0.9418604651162791,,,
255,66863,255,0.1366387566311492,0.0,0.8936170212765957,,,
256,67144,256,0.1646011001537265,0.0,0.9217391304347826,,,
257,67425,257,0.09108856692250474,0.0,0.9555555555555556,0.15491976612349842,0.0,0.8961038961038961
258,67666,258,0.09205626912215147,0.0,0.9512195121951219,,,
259,68003,259,0.22107906466523425,0.0,0.8918918918918919,,,
260,68268,260,0.272432066737168,0.0,0.8695652173913043,,,
261,68533,261,0.18893728622751835,0.0,0.912621359223301,,,
262,68806,262,0.24622270331960686,0.0,0.831858407079646,,,
263,69087,263,0.18393104707084046,0.0,0.8736842105263158,,,
264,69376,264,0.1127173597409507,0.0,0.9111111111111111,,,
265,69625,265,0.08532540058952297,0.0,0.96875,0.5759925392633113,0.0,0.7685185185185185
266,69842,266,0.10188235959302615,0.0,0.9529411764705882,,,
267,70051,267,0.07915979900931777,0.0,0.9452054794520548,,,
268,70276,268,0.052163784503452826,0.0,0.975,,,
269,70549,269,0.06171048446997924,0.0,0.9753086419753086,,,
270,70854,270,0.14147179560021106,0.0,0.9339622641509434,,,
271,71127,271,0.13366941275681624,0.0,0.8875,,,
272,71328,272,0.06313011362516278,0.0,0.971830985915493,,,
273,71593,273,0.15176360052953725,0.0,0.912621359223301,0.15449372431854244,0.0,0.8961038961038961
274,71826,274,0.06372777741444315,0.0,0.9753086419753086,,,
275,72091,275,0.1955944887127177,0.0,0.9029126213592233,,,
276,72340,276,0.09332407178073927,0.0,0.963855421686747,,,
277,72589,277,0.167377452407287,0.0,0.8969072164948454,,,
278,72838,278,0.09910280953049695,0.0,0.9680851063829787,,,
